place_name
ARTJOG MMXIX
Aisha tour planner & transport service
Bahasa Kopi
Bangsal Kencana
Bangsal Magangan
Bangsal Pengapit Pasewakan
Candi Donotirto
Castelo de Ãgua do Sultanato de Yogyakarta
Cemeti - Institute for Art and Society
D'Walik
De Mata Trick Eye Museum
Fort Vredeburg Museum
Gallery Amri Yahya
Gapura Sawojajar Wijilan
Gedung Jefferson
Gembira Loka Zoo
Gereja Sayidan
Government Tourist Information Center
JOGJA TREVELING
Jetis Monument
Jogja National Museum
Kampoeng Cyber Yogyakarta
Kampung Wisata Rejowinangun
Kampung Wisata Sosromenduran
Kauman Pakualaman Yogyakarta
Kori Agung Masjid Gedhe Mataram Kotagede
Kori Barat Masjid Gedhe Mataram Kotagede
Kotagede Heritage Trail
LEGAWONG
Malioboro
Masjid Gedhe Kauman
Monumen Serang Umum 1 Maret
Museum Batik Keraton Yogyakarta
Museum Benteng Vredeburg
Museum Kereta Karaton
Museum Kristal dan Cinderamata Keraton Yogyakarta
Museum Monumen Pangeran Diponegoro
Museum Omah Jayeng
Museum Pendidikan dan Mainan Kolong Tangga
Museum Perjuangan
Museum Romo Mangun
Museum Rs Mata Dr Yap
Museum Sandi
Museum Satwa Gembira Loka Zoo
Museum Sidik Martowidjojo
Museum Sonobudoyo Unit I
Museum Sonobudoyo Unit II
Museum Sri Sultan Hamengkubuwono IX
Museum TNI AD Dharma Wiratama
Museum Temporer Sonobudoyo
Museum of Biology UGM
Museum of Struggle
Nol Kilometer Jl.Malioboro
Pangurakan Gate
Pasar Kembang
Pendopo Pilahan
Plengkung Wijilan
Ruang Perawatan Jenderal Soedirman
Sasana wiratama
Sekretariat Sementara Museum Anak Kolong Tangga
Situs Gedong Pusoko
Situs Warungboto
Sonobudoyo State Museum Unit II
Taman Air Menari
Taman Pintar Yogyakarta
Taman Sari
Taman sari Keraton
Taman sari Water Castle
The Palace of Yogyakarta (Keraton Yogyakarta)
Tourism Village Duchy
Tourism Village Pandeyan
Tugu
Tugu Jam
T Square
Yogyakarta Night Tours - Meeting Point Klasik : Historical Walking and Food Tour
